Customer ID,Age,Gender,Annual Income,Spending Score
85,68,Male,167873,24
86,65,Male,23002,32
87,81,Female,111464,34
88,64,Female,120469,20
89,76,Male,85934,48
90,30,Female,99419,4
91,68,Female,194339,35
92,70,Male,187033,14
93,57,Male,164879,9
94,90,Female,34276,98
95,65,Male,97470,67
96,36,Female,142836,40
97,72,Female,62084,59
98,61,Male,166752,93
99,46,Male,43269,54
100,68,Male,114111,42
101,31,Female,75683,65
102,51,Male,196283,31
103,37,Female,132793,22
104,25,Male,141598,63
105,30,Male,195148,27
106,21,Female,175112,33
107,65,Male,81473,10
108,21,Male,172147,80
109,22,Female,106474,74
110,70,Female,198254,13
111,71,Male,148746,13
112,27,Female,40263,77
113,21,Female,115816,55
114,53,Male,149880,32
115,51,Female,88029,84
116,49,Female,193839,43
117,56,Female,54564,18
118,55,Male,134714,96
119,84,Male,187596,44
120,38,Male,129717,71
121,46,Female,48265,62
122,27,Male,179234,97
123,53,Female,156298,35
124,65,Male,156022,49
125,22,Male,158363,83
126,23,Female,114512,25
127,18,Female,96397,64
128,44,Female,171517,76
129,38,Female,181538,68
130,54,Male,47403,42
131,88,Female,167725,51
132,24,Female,185297,95
133,70,Male,160196,34
134,42,Female,117940,82
135,74,Male,190938,65
136,22,Female,138220,20
137,78,Male,94764,75
138,44,Female,83991,1
139,70,Male,82642,56
140,58,Female,123333,91
141,38,Male,70435,24
142,88,Male,189093,50
143,33,Female,177848,29
144,59,Female,96744,97
145,72,Female,83218,32
146,27,Male,39027,29
147,35,Female,139195,33
148,37,Female,144020,45
149,44,Female,186527,6
150,29,Male,48177,53
151,58,Female,139447,35
152,39,Female,119071,3
153,33,Male,181795,1
154,65,Female,150797,44
155,52,Female,76398,31
156,45,Female,58209,64
157,82,Male,122425,46
158,59,Female,46020,78
159,34,Female,61463,72
160,52,Male,29917,3
161,59,Male,194285,47
162,45,Female,96402,43
163,29,Male,146297,82
164,83,Male,148435,71
165,26,Male,111030,96
166,79,Male,27136,48
167,49,Male,197608,33
168,19,Female,55184,32
169,48,Female,92981,70
170,22,Male,40540,40
171,54,Male,88161,40
172,83,Male,165910,52
173,60,Male,167341,34
174,78,Female,90847,77
175,33,Female,35619,73
176,27,Female,41176,50
177,33,Female,120389,51
178,55,Male,74456,13
179,46,Female,181085,64
180,87,Female,46613,76
181,79,Male,83333,73
182,19,Female,165788,44
183,22,Female,99687,51
184,31,Male,83755,8
185,84,Male,155012,80
186,27,Male,56250,100
187,20,Male,111933,39
188,36,Male,191350,99
189,77,Female,94946,92
190,67,Female,63064,26
191,26,Male,82707,4
192,34,Female,135368,27
193,40,Male,44192,70
194,41,Male,32923,95
195,57,Male,100359,18
196,35,Female,28555,18
197,85,Female,142048,11
198,63,Female,111526,91
199,35,Male,33041,15
200,77,Male,157332,57
201,25,Male,71927,39
202,28,Male,194371,19
203,31,Male,85563,28
204,85,Female,130091,37
205,90,Male,42161,94
206,28,Male,159617,71
207,70,Male,46295,54
208,46,Male,74147,48
209,71,Male,190491,75
210,81,Female,124912,24
211,35,Male,84210,53
212,37,Male,134784,6
213,71,Male,185966,6
214,50,Male,140875,83
215,65,Male,177020,100
216,83,Male,151188,88
217,39,Female,33191,2
218,32,Female,163264,64
219,26,Male,40345,23
220,24,Male,184070,21
221,65,Female,44776,36
222,36,Female,119502,52
223,41,Female,113729,54
224,83,Female,194008,55
225,61,Female,60084,36
226,84,Female,144269,1
227,33,Female,109638,49
228,89,Female,88161,50
229,35,Female,182663,68
230,89,Female,91139,59
231,40,Male,180570,23
232,69,Female,57994,35
233,88,Female,172761,69
234,34,Female,38774,84
235,88,Male,80079,9
236,61,Female,23888,59
237,60,Female,189867,98
238,78,Female,23342,91
239,35,Female,76836,29
240,53,Male,170065,28
241,33,Male,99420,64
242,86,Male,174987,71
243,90,Female,117976,85
244,84,Male,74475,54
245,54,Female,103099,49
246,20,Male,188784,21
247,86,Female,28187,37
248,73,Female,145465,54
249,35,Female,120472,94
250,88,Female,37300,4
251,54,Female,113062,65
252,19,Male,150107,61
253,84,Male,22452,48
254,60,Female,42834,32
255,39,Female,81494,66
256,85,Female,59981,38
257,60,Female,91707,89
258,85,Male,31207,51
259,82,Female,160112,44
260,44,Male,199826,4
261,48,Male,124952,1
262,21,Female,42522,48
263,87,Male,54581,94
264,41,Male,68045,37
265,52,Female,141101,30
266,76,Female,74629,27
267,72,Female,70373,4
268,67,Male,22820,19
269,32,Female,83620,77
270,71,Female,96598,33
271,38,Male,55259,53
272,57,Female,26527,59
273,80,Male,152277,50
274,60,Male,150622,51
275,53,Male,177668,26
276,84,Female,138972,90
277,26,Male,52463,75
278,34,Female,139068,63
279,67,Female,193657,23
280,31,Female,154450,38
281,81,Female,116964,89
282,67,Male,122895,41
283,32,Female,176367,2
284,32,Female,118656,21
285,81,Male,68370,93
286,77,Male,105926,7
287,27,Female,124703,17
288,59,Female,147027,49
289,37,Female,110855,1
290,47,Male,70702,66
291,28,Male,82523,10
292,63,Male,42330,88
293,18,Male,178560,90
294,55,Male,129907,39
295,46,Female,134580,1
296,72,Female,107376,38
297,78,Female,125187,95
298,62,Male,186372,61
299,60,Female,127462,31
300,76,Female,74630,37
301,32,Male,95027,5
302,77,Female,126515,52
303,56,Male,166446,89
304,64,Male,158708,2
305,67,Female,120643,87
306,52,Male,57458,35
307,58,Female,29260,83
308,50,Male,190730,46
309,54,Female,184263,13
310,23,Male,142365,37
311,59,Male,193543,47
312,22,Female,129465,92
313,77,Male,65179,75
314,53,Male,30343,26
315,46,Female,38876,73
316,57,Male,135290,39
317,76,Female,189305,39
318,34,Male,151112,35
319,89,Male,66323,86
320,34,Female,174069,15
321,64,Male,76655,16
322,24,Male,143372,25
323,55,Female,111764,18
324,84,Male,142286,39
325,72,Female,148326,95
326,53,Female,101061,61
327,85,Male,161924,26
328,85,Female,173245,84
329,45,Male,196725,19
330,43,Female,20953,32
331,86,Female,109022,29
332,19,Female,129516,21
333,45,Female,164003,51
334,36,Female,27840,36
335,51,Female,145171,71
336,38,Male,26427,39
337,27,Male,56203,32
338,19,Male,82173,10
339,81,Male,54017,17
340,72,Male,54956,2
341,78,Male,186007,97
342,53,Male,160578,6
343,83,Female,178348,29
344,77,Female,169719,55
345,54,Female,165825,98
346,42,Male,193045,89
347,70,Male,78287,3
348,29,Female,118684,34
349,88,Male,116405,39
350,37,Male,121849,4
351,22,Female,143719,41
352,21,Female,101576,83
353,36,Female,26334,57
354,50,Male,157555,17
355,53,Male,74738,55
356,70,Male,129521,31
357,38,Female,137145,59
358,58,Male,38318,60
359,48,Female,91467,69
360,51,Female,45879,15
361,27,Male,52391,41
362,33,Female,119850,56
363,76,Female,170078,6
364,79,Male,117332,26
365,52,Female,174466,55
366,85,Female,101361,96
367,18,Male,98304,58
368,41,Female,144752,78
369,82,Female,24320,23
370,54,Male,106714,20
371,22,Male,194907,76
372,75,Male,85799,96
373,71,Male,63982,75
374,41,Female,87073,25
375,90,Female,140436,10
376,21,Female,90740,56
377,69,Male,174694,43
378,75,Female,71474,91
379,70,Male,56374,7
380,40,Male,88459,95
381,23,Female,133914,44
382,41,Female,182523,79
383,34,Male,183346,22
384,78,Female,136769,33
385,40,Male,20733,51
386,20,Female,41393,30
387,73,Male,36205,21
388,47,Female,65662,57
389,56,Male,97772,74
390,71,Female,197836,15
391,57,Female,54469,10
392,60,Female,124047,98
393,73,Male,81323,70
394,82,Female,39391,26
395,48,Male,101082,26
396,77,Female,109549,74
397,59,Male,194924,40
398,60,Male,178052,54
399,23,Female,106726,22
400,45,Male,198713,19
401,63,Male,92958,25
402,18,Male,159187,56
403,71,Male,93430,16
404,24,Female,42163,74
405,71,Female,122521,66
406,87,Female,135385,78
407,44,Male,183922,2
408,70,Male,20908,68
409,58,Female,173955,56
410,88,Female,94293,83
411,26,Female,21649,59
412,69,Female,180330,53
413,73,Male,37561,86
414,88,Female,81898,73
415,64,Male,101560,75
416,85,Male,44607,13
417,64,Male,173348,84
418,63,Female,127435,77
419,64,Male,170870,72
420,21,Male,129790,7
421,79,Male,80187,83
422,83,Male,159614,8
423,76,Male,89407,16
424,67,Male,153531,59
425,85,Female,198777,89
426,59,Male,78594,19
427,55,Male,85115,91
428,39,Male,193628,85
429,77,Female,102407,100
430,34,Female,89281,56
431,86,Male,82548,60
432,40,Female,103640,52
433,68,Female,91405,1
434,79,Male,123445,66
435,29,Male,137270,66
436,83,Male,171348,63
437,41,Female,141119,40
438,82,Female,127526,14
439,75,Female,185054,47
440,78,Female,107494,94
441,53,Male,57688,10
442,78,Male,149736,44
443,75,Male,50256,78
444,66,Female,134911,59
445,86,Female,74521,6
446,29,Male,148755,82
447,19,Female,161632,9
448,68,Male,38528,98
449,84,Male,22909,75
450,67,Female,187832,10
451,46,Female,95914,81
452,55,Female,153041,38
453,84,Male,76245,50
454,67,Male,129619,38
455,69,Female,198222,25
456,65,Male,119444,93
457,78,Male,38448,48
458,40,Male,97741,52
459,72,Female,164386,46
460,54,Male,91225,28
461,19,Female,122126,46
462,62,Female,54526,76
463,55,Male,158515,50
464,26,Female,154839,83
465,51,Male,154021,71
466,51,Male,191537,41
467,34,Male,66604,91
468,79,Female,69881,29
469,53,Female,85717,13
470,49,Female,190332,53
471,48,Male,26077,52
472,23,Female,174708,85
473,80,Female,156773,67
474,19,Female,169276,95
475,79,Female,95639,76
476,75,Female,124498,27
477,44,Female,120679,77
478,52,Male,152295,91
479,69,Male,165227,27
480,66,Female,159783,32
481,38,Female,175705,31
482,64,Female,137245,60
483,45,Female,194383,4
484,73,Female,59263,35
485,63,Female,95665,99
486,73,Male,48069,82
487,83,Female,113215,70
488,74,Male,53856,23
489,39,Female,172160,6
490,86,Female,72309,54
491,41,Male,49545,43
492,57,Female,120031,39
493,69,Male,167306,54
494,66,Male,89511,46
495,40,Male,55208,16
496,60,Female,108863,80
497,46,Female,181242,98
498,88,Male,169138,100
499,57,Female,164003,55
500,51,Female,37102,43
501,70,Male,55667,22
502,64,Female,176766,68
503,81,Male,196637,74
504,20,Female,184387,40
505,58,Male,104660,47
506,77,Female,139804,22
507,41,Female,174504,52
508,86,Male,52216,62
509,40,Male,80082,79
510,43,Female,127348,7
511,56,Male,48666,47
512,74,Female,40689,75
513,82,Male,135260,63
514,25,Female,135621,44
515,52,Male,22771,1
516,36,Male,185752,31
517,58,Male,124853,30
518,83,Female,25680,74
519,49,Female,123489,79
520,79,Female,123362,7
521,36,Female,133984,93
522,56,Male,50427,52
523,74,Male,109479,75
524,29,Female,79914,38
525,48,Male,70861,79
526,61,Male,173781,57
527,42,Male,124496,64
528,20,Male,190420,69
529,34,Male,100159,59
530,33,Male,54510,96
531,38,Male,156178,41
532,51,Male,59939,59
533,22,Male,145127,53
534,67,Male,64896,99
535,84,Female,88812,51
536,26,Female,154753,57
537,69,Male,159919,40
538,19,Male,45336,53
539,56,Female,160231,12
540,41,Male,144324,21
541,22,Female,131870,14
542,69,Male,20104,39
543,57,Female,77952,5
544,24,Male,199076,65
545,31,Male,92650,2
546,25,Male,170959,70
547,55,Male,83562,34
548,54,Male,172382,23
549,39,Male,60008,27
550,31,Male,144867,81
551,72,Male,196122,11
552,87,Female,27167,33
553,71,Male,168707,99
554,69,Female,93861,12
555,37,Female,55490,27
556,47,Female,114120,15
557,52,Male,187849,59
558,49,Female,99984,63
559,74,Male,184858,29
560,34,Male,160824,50
561,72,Male,73969,65
562,36,Female,138816,65
563,28,Male,145481,88
564,90,Female,114829,2
565,47,Male,87398,24
566,86,Male,61327,7
567,73,Female,124554,15
568,55,Female,83935,85
569,67,Male,60892,59
570,78,Male,20413,44
571,64,Male,108810,63
572,43,Female,132743,36
573,83,Female,104181,1
574,34,Male,125144,85
575,77,Female,32247,63
576,59,Male,111425,52
577,72,Female,38618,31
578,57,Male,63778,57
579,71,Male,193546,63
580,31,Male,30505,48
581,81,Female,72824,24
582,82,Male,117130,58
583,41,Male,114443,14
584,58,Female,126819,34
585,72,Female,160849,97
586,80,Male,95597,47
587,23,Female,73735,98
588,83,Female,163569,18
589,35,Female,195678,71
590,67,Male,122477,19
591,29,Female,98005,38
592,66,Female,140084,44
593,33,Female,183148,84
594,87,Male,140111,44
595,72,Female,38611,87
596,61,Male,195305,66
597,63,Male,170688,73
598,69,Female,78140,41
599,31,Male,153008,58
600,27,Female,131134,99
601,22,Male,76090,13
602,38,Female,184355,71
603,83,Female,31241,58
604,50,Male,91230,27
605,38,Female,65547,61
606,75,Male,129187,21
607,70,Female,91037,11
608,85,Female,153007,31
609,87,Female,152894,70
610,57,Male,31879,43
611,36,Female,96992,80
612,54,Male,174665,37
613,43,Female,56543,81
614,87,Female,24933,70
615,39,Female,47123,26
616,74,Male,134385,26
617,45,Female,71723,21
618,26,Female,158873,77
619,44,Male,163155,79
620,21,Male,144965,36
621,31,Female,144207,81
622,82,Male,109643,16
623,22,Male,100009,28
624,53,Male,71711,100
625,69,Male,192592,71
626,30,Female,196354,9
627,64,Female,183627,18
628,82,Female,194775,74
629,57,Female,167315,32
630,22,Female,140054,51
631,56,Male,97860,53
632,90,Female,199124,11
633,34,Female,57864,62
634,41,Male,95094,78
635,21,Female,146016,85
636,21,Male,63732,88
637,47,Male,40378,10
638,87,Male,142648,72
639,86,Male,183401,24
640,71,Female,74309,26
641,20,Male,150191,99
642,33,Male,139770,8
643,64,Male,195668,83
644,84,Male,196994,86
645,66,Male,153493,46
646,21,Female,65829,71
647,71,Female,68902,7
648,48,Male,34334,72
649,69,Female,140446,31
650,42,Female,50311,98
651,62,Male,180947,48
652,50,Female,75689,44
653,82,Male,168093,92
654,84,Male,90479,96
655,34,Female,67592,9
656,54,Female,38854,91
657,37,Female,63136,78
658,90,Male,133348,62
659,39,Male,190374,50
660,87,Female,131804,6
661,39,Male,119018,38
662,80,Female,48706,31
663,68,Female,140546,51
664,66,Female,112968,73
665,85,Male,129072,61
666,37,Male,196133,55
667,53,Female,127298,8
668,57,Male,103755,14
669,89,Male,62184,22
670,63,Male,88947,26
671,37,Female,180052,88
672,58,Male,166959,29
673,62,Female,150808,36
674,81,Female,102709,6
675,89,Female,133661,2
676,19,Male,144231,36
677,39,Male,194799,46
678,42,Female,191997,89
679,58,Male,100317,11
680,72,Male,96935,89
681,24,Male,180003,17
682,90,Female,38784,64
683,25,Female,143162,45
684,84,Male,95450,78
685,52,Female,24667,41
686,66,Female,67024,81
687,55,Male,180936,58
688,30,Female,97533,99
689,79,Male,152325,95
690,75,Male,87225,9
691,28,Female,70856,59
692,88,Male,39342,67
693,42,Female,40136,53
694,48,Male,71283,1
695,64,Male,145973,16
696,44,Female,34010,57
697,39,Male,33550,11
698,32,Female,45918,4
699,80,Female,136836,85
700,34,Female,46580,2
701,70,Male,179860,41
702,83,Male,180766,80
703,31,Female,197347,72
704,18,Male,132488,87
705,86,Male,68477,32
706,82,Male,100445,77
707,86,Male,96699,35
708,34,Female,51610,82
709,46,Female,129463,22
710,54,Female,113387,97
711,85,Female,49379,15
712,49,Male,88212,96
713,73,Female,190422,63
714,60,Female,173741,20
715,62,Male,153858,17
716,21,Male,33269,93
717,65,Male,162596,64
718,83,Male,74815,82
719,42,Female,28411,7
720,90,Male,163256,4
721,78,Female,45558,72
722,61,Female,159298,70
723,64,Female,166158,55
724,18,Male,154195,30
725,35,Female,76966,71
726,18,Female,33355,2
727,83,Female,119458,21
728,58,Male,30990,37
729,20,Female,45574,88
730,78,Male,160067,80
731,71,Male,129333,61
732,54,Male,112107,44
733,29,Female,86306,9
734,48,Female,162071,67
735,36,Female,129514,72
736,54,Female,185161,38
737,67,Male,114207,5
738,19,Male,120882,56
739,35,Male,181792,42
740,27,Male,59681,34
741,18,Male,122518,85
742,63,Male,114478,99
743,71,Female,147895,83
744,29,Male,30192,79
745,47,Female,130569,49
746,89,Male,175733,34
747,66,Male,48675,54
748,46,Female,187218,81
749,89,Male,65850,49
750,34,Female,30409,78
751,43,Female,86441,81
752,64,Female,81651,73
753,71,Male,154377,32
754,42,Female,89716,47
755,33,Female,170368,3
756,24,Male,149763,24
757,85,Male,75489,14
758,26,Female,58208,78
759,65,Female,183468,82
760,86,Female,197393,62
761,69,Female,64739,84
762,23,Male,94882,66
763,35,Male,93920,74
764,45,Female,194577,22
765,70,Female,161459,45
766,62,Female,151015,74
767,57,Female,87265,99
768,52,Female,197380,64
769,50,Male,164703,73
770,35,Female,87068,74
771,67,Female,142820,12
772,20,Female,57414,66
773,23,Female,35821,26
774,68,Female,129922,70
775,31,Male,165920,39
776,40,Female,96771,51
777,74,Male,160882,5
778,34,Female,55983,9
779,41,Female,158601,18
780,66,Female,180763,79
781,32,Female,24024,19
782,85,Male,103010,34
783,42,Female,49970,13
784,90,Male,153585,36
785,71,Female,95374,36
786,84,Female,33155,68
787,87,Male,144187,83
788,76,Female,98844,84
789,52,Female,48968,100
790,23,Female,84346,17
791,80,Female,80553,8
792,84,Female,71621,89
793,55,Female,135073,12
794,79,Male,93783,33
795,70,Male,198305,85
796,53,Female,146455,68
797,31,Male,177879,20
798,64,Male,171097,24
799,58,Male,166019,39
800,48,Male,55191,99
801,65,Female,111980,58
802,62,Male,74749,94
803,20,Male,56688,4
804,33,Female,98626,82
805,46,Male,115058,75
806,41,Female,199456,9
807,68,Male,139769,60
808,49,Female,64643,3
809,86,Female,154730,87
810,70,Female,134646,60
811,55,Male,169165,82
812,64,Female,49198,70
813,88,Male,59948,53
814,39,Female,111425,85
815,58,Female,115529,38
816,49,Male,195029,99
817,20,Female,188328,13
818,31,Female,40699,100
819,46,Female,171943,78
820,88,Male,121555,65
821,25,Female,127328,83
822,87,Female,178693,27
823,78,Male,133038,19
824,50,Female,56604,72
825,55,Female,189945,97
826,85,Female,133601,1
827,41,Male,92549,8
828,31,Male,152964,44
829,43,Male,144656,17
830,83,Male,132512,7
831,69,Female,169335,10
832,45,Female,72217,45
833,36,Male,134815,100
834,80,Male,190903,21
835,59,Female,169200,89
836,34,Male,178957,93
837,23,Male,187873,53
838,19,Female,105512,47
839,61,Male,118870,78
840,86,Male,99837,41
841,21,Female,178843,16
842,80,Female,101836,81
843,83,Female,39314,21
844,32,Male,62758,17
845,36,Female,65511,37
846,67,Male,110877,22
847,76,Male,92593,65
848,47,Male,184654,68
849,37,Female,68561,48
850,69,Female,132316,34
851,64,Female,143666,85
852,24,Female,130987,92
853,66,Female,34176,7
854,42,Male,171128,75
855,72,Male,188096,3
856,51,Male,156948,29
857,47,Male,106157,82
858,20,Female,71561,32
859,42,Female,98960,51
860,46,Male,68144,72
861,82,Male,138788,41
862,27,Female,166551,65
863,28,Female,30736,4
864,73,Female,117656,23
865,67,Male,27210,71
866,44,Female,161667,35
867,55,Male,124649,58
868,59,Female,188031,33
869,36,Female,153529,63
870,51,Male,177697,34
871,72,Female,90187,43
872,49,Female,81804,85
873,60,Female,67828,12
874,77,Male,56428,76
875,74,Male,22367,98
876,65,Female,179989,67
877,37,Male,114596,67
878,40,Female,179075,65
879,62,Female,121950,41
880,57,Female,40925,23
881,20,Female,167993,19
882,32,Male,121633,40
883,60,Female,35782,58
884,87,Male,105032,94
885,26,Female,38428,31
886,44,Male,173937,91
887,26,Male,186992,42
888,80,Female,74099,40
889,63,Female,150185,13
890,71,Male,115198,77
891,63,Female,78296,34
892,28,Male,80307,38
893,55,Male,53038,29
894,87,Male,55792,84
895,36,Female,39689,49
896,19,Male,153781,6
897,52,Male,116662,29
898,38,Male,76663,80
899,24,Female,159414,79
900,72,Female,120085,81
901,63,Male,102167,19
902,37,Female,175496,73
903,38,Male,190821,38
904,71,Male,84268,27
905,39,Male,162820,89
906,80,Male,33193,63
907,80,Male,80537,75
908,51,Female,183939,18
909,33,Female,163858,37
910,87,Male,75396,83
911,50,Male,67687,79
912,83,Male,71541,10
913,71,Male,108614,31
914,19,Male,59348,23
915,85,Female,126069,72
916,62,Female,31948,1
917,89,Male,177512,62
918,90,Male,84929,83
919,90,Male,140063,79
920,57,Female,38224,4
921,40,Female,20442,23
922,47,Male,162352,86
923,36,Female,199934,38
924,79,Female,108865,26
925,71,Male,152722,11
926,26,Male,141600,84
927,28,Male,76394,96
928,90,Female,140857,45
929,36,Male,162031,9
930,55,Female,190813,22
931,40,Female,44095,17
932,67,Male,48217,34
933,45,Female,94535,7
934,83,Female,125511,12
935,66,Male,55422,98
936,59,Female,63061,79
937,67,Male,170005,51
938,41,Male,79851,57
939,81,Female,162193,50
940,80,Male,80468,35
941,39,Male,168654,91
942,75,Female,96952,78
943,71,Male,46751,27
944,90,Female,48500,87
945,83,Male,122787,97
946,44,Female,56095,98
947,78,Male,120169,34
948,66,Male,45575,1
949,41,Male,161614,7
950,64,Female,189594,84
951,46,Male,107928,5
952,44,Female,39712,47
953,27,Male,42401,53
954,53,Female,137028,21
955,46,Male,62957,15
956,59,Male,135310,49
957,29,Female,34703,26
958,69,Female,161582,45
959,83,Male,151968,78
960,32,Male,36442,27
961,75,Male,65116,50
962,36,Male,141308,9
963,69,Female,44115,31
964,28,Female,136112,63
965,31,Male,161192,11
966,35,Male,131200,27
967,41,Male,59087,74
968,66,Male,121139,27
969,89,Female,162578,75
970,47,Female,76662,63
971,43,Male,59106,57
972,49,Male,93112,73
973,25,Male,113464,1
974,24,Female,51686,31
975,37,Male,156602,7
976,75,Female,111023,73
977,58,Male,49579,81
978,74,Female,78019,81
979,51,Female,33185,58
980,68,Male,45630,20
981,58,Female,147733,51
982,76,Male,102849,27
983,39,Male,166452,34
984,86,Male,119742,94
985,86,Female,192901,27
986,82,Female,48232,25
987,74,Male,28100,51
988,33,Male,64795,45
989,43,Male,75609,71
990,30,Male,28032,79
991,36,Female,145469,65
992,63,Female,117469,17
993,22,Male,53048,82
994,44,Female,100108,13
995,60,Female,175868,7
996,41,Male,188180,18
997,88,Male,126918,84
998,73,Female,178461,75
999,84,Male,37244,35
1000,76,Female,124852,9
1001,28,Female,127447,34
1002,54,Male,171757,85
1003,45,Male,48710,79
1004,56,Female,85585,91
1005,64,Male,130835,65
1006,18,Female,88033,82
1007,45,Male,168639,37
1008,69,Female,112028,59
1009,77,Male,56662,78
1010,32,Male,146940,21
1011,41,Female,118767,25
1012,79,Male,101589,50
1013,83,Female,62279,1
1014,53,Female,79103,4
1015,69,Female,30459,11
1016,61,Male,136238,89
1017,79,Male,104565,48
1018,78,Male,135766,86
1019,85,Female,63312,7
1020,65,Female,188207,28
1021,39,Male,196640,78
1022,33,Male,138814,7
1023,55,Female,130471,76
1024,59,Female,25298,76
1025,41,Male,191769,68
1026,79,Female,99659,18
1027,63,Male,135239,66
1028,46,Male,133902,94
1029,78,Female,186037,60
1030,69,Female,157149,88
1031,82,Female,136991,41
1032,31,Male,123518,60
1033,90,Male,192338,59
1034,48,Female,45002,84
1035,83,Female,150867,71
1036,57,Female,74288,51
1037,43,Male,177446,14
1038,65,Male,129764,37
1039,36,Male,46072,2
1040,36,Male,108956,70
1041,20,Female,148279,90
1042,21,Female,82673,96
1043,56,Male,179815,2
1044,38,Female,100452,99
1045,70,Male,141868,82
1046,49,Male,135544,98
1047,82,Male,94305,88
1048,21,Male,120726,37
1049,20,Male,149016,1
1050,41,Male,159943,90
1051,77,Male,58786,78
1052,30,Female,76805,97
1053,27,Male,55536,32
1054,60,Male,130383,98
1055,80,Male,94248,45
1056,44,Female,157372,77
1057,47,Male,160934,77
1058,37,Male,142843,3
1059,39,Male,82780,77
1060,69,Male,81578,69
1061,41,Female,74248,74
1062,61,Male,31667,51
1063,21,Female,43644,41
1064,77,Female,129433,13
1065,21,Female,141651,59
1066,45,Female,98008,33
1067,90,Male,30106,81
1068,81,Female,109914,38
1069,64,Male,189253,31
1070,66,Female,118827,14
1071,75,Male,129898,64
1072,77,Male,96453,61
1073,77,Male,191839,22
1074,30,Female,32502,57
1075,69,Female,82627,95
1076,29,Female,191760,88
1077,59,Male,143480,51
1078,72,Male,45842,74
1079,27,Male,122499,24
1080,80,Female,24154,1
1081,50,Male,109977,78
1082,25,Female,199600,37
1083,33,Male,82063,53
1084,20,Female,61127,16
1085,19,Male,36886,59
1086,79,Male,189916,81
1087,41,Male,40081,87
1088,78,Female,98635,19
1089,61,Male,193151,39
1090,31,Male,169901,86
1091,48,Male,85718,29
1092,48,Male,31319,47
1093,38,Female,85370,61
1094,43,Female,92020,25
1095,61,Male,171183,29
1096,28,Male,123199,98
1097,64,Male,31629,29
1098,70,Female,153603,31
1099,76,Male,58100,28
1100,52,Male,25588,90
1101,44,Male,182368,32
1102,83,Female,185607,72
1103,51,Female,181837,45
1104,87,Female,48210,46
1105,75,Female,31056,95
1106,46,Male,98252,84
1107,22,Female,81428,81
1108,24,Male,154669,64
1109,47,Male,87630,17
1110,59,Male,71744,51
1111,46,Male,84357,64
1112,44,Female,27595,95
1113,81,Female,118427,39
1114,58,Male,57070,13
1115,66,Female,25968,74
1116,66,Male,37225,59
1117,59,Female,72876,59
1118,28,Female,88657,64
1119,50,Male,48916,28
1120,81,Male,95441,41
1121,27,Female,177593,46
1122,63,Male,79629,97
1123,56,Female,172023,59
1124,30,Female,187248,23
1125,38,Male,149779,77
1126,61,Female,61869,90
1127,42,Male,51495,76
1128,23,Female,191209,89
1129,18,Female,170359,50
1130,23,Male,42140,56
1131,90,Female,154016,94
1132,41,Female,161143,23
1133,64,Male,181359,82
1134,46,Female,31179,97
1135,60,Female,101192,54
1136,74,Male,198753,31
1137,35,Male,112265,99
1138,79,Male,167629,52
1139,84,Female,142021,10
1140,89,Female,140505,12
1141,86,Male,119131,28
1142,72,Female,47200,56
1143,85,Female,109068,2
1144,81,Female,121655,56
1145,38,Female,193906,66
1146,33,Female,167291,88
1147,73,Female,54654,27
1148,37,Male,186282,5
1149,18,Female,97203,48
